plume_id_src,obs_datetime_utc,provider,emission_tph,emission_unc_tph,cluster_id,latitude,longitude
72e9190fcb5531806e8642cd9b5db342,2024-06-24 04:49:57+00:00,SRON,19.0,10.0,2,-21.89,147.93
6a27ec1beedf2b21a83d855e9868812b,2024-06-25 04:28:03+00:00,SRON,28.0,19.0,0,-32.73,150.99
89ba71c5f0c40da26c39c4b24151964b,2024-07-20 04:02:31+00:00,SRON,31.0,12.0,2,-21.82,148.33
60f233414e038601699a0c3432d7ae24,2024-08-08 00:00:00+00:00,KAYRROS,27.7,12.46,0,-32.5804,150.9769
96fef9d6121e6397bda98029e547775b,2024-08-18 00:00:00+00:00,KAYRROS,18.49,8.32,2,-21.915,147.8183
52398d23b42394a9cc01cee64630c478,2024-08-22 03:43:14+00:00,SRON,9.0,5.0,1,-23.04,148.5
6ab74cfe0d1c36ce8f6a5e01c63e532b,2024-08-22 03:43:38+00:00,SRON,19.0,8.0,2,-21.96,148.02
1a2ba9c1dbfdebec14f24240b1225019,2024-08-22 03:43:45+00:00,SRON,21.0,8.0,2,-21.45,148.2
21f628f21729b5804a7bb45556861a41,2024-08-23 03:25:02+00:00,SRON,36.0,13.0,2,-21.96,147.55
9a28b9c2ecb3f00e27f15264d644d5cb,2024-08-30 04:33:37+00:00,SRON,28.0,11.0,2,-21.84,148.26
80bea88fda7d4cd24eec064f1c9abd3b,2024-08-31 04:14:42+00:00,SRON,14.0,6.0,2,-21.82,148.36
1f2540c0eb1e43e6111d0bf8859cc45b,2024-09-01 00:00:00+00:00,KAYRROS,14.6,6.57,2,-21.9405,148.0312
69ed8fd53f9b14e5ce6b6512fc30f2cb,2024-09-01 03:55:51+00:00,SRON,19.0,8.0,2,-21.84,148.37
3ccdfb5d145e822dd5fc146a1bfa5fd4,2024-09-01 03:55:58+00:00,SRON,12.0,7.0,2,-21.5,148.5
b9697fc0b343a3620b6db7229434f471,2024-09-02 00:00:00+00:00,KAYRROS,,,2,-21.887,147.9666
5df752ac5c53afdeebcd62136d15b48f,2024-09-02 00:00:00+00:00,KAYRROS,16.37,7.37,1,-22.9698,148.862
9a2717958abc874e851c5e81e6119506,2024-09-02 03:37:07+00:00,SRON,17.0,6.0,2,-21.75,148.41
51d53c98bc0afbc9445d0c31653abe01,2024-09-10 04:24:14+00:00,SRON,14.0,5.0,0,-32.68,151.04
737cfe0b8886c1b103a256ba304222ca,2024-09-13 03:30:27+00:00,SRON,31.0,12.0,-1,-23.93,148.62
